DistrictType,SchoolType,DistrictNumber,DistrictName,SchoolNumber,SchoolName,SchoolAddress,SchoolCity,SchoolState,SchoolZip,District No.,District Name,School No.,School Name,Juniors This Year,Seniors This Year,Juniors Last Year,Seniors Last Year,JuniorDelta,SeniorDelta
Public School District,Secondary 9-12,11005,Platte-Geddes 11-5,1,Platte - Geddes High School - 01,400 Illinois Ave,Platte,SD,57369-0140,11005.0,Platte-Geddes 11-5            ,1.0,Platte-Geddes H.S                       ,31.0,30.0,30.0,26.0,1.0333333333333334,1.1538461538461537
Public School District,Secondary 9-12,51004,Rapid City Area 51-4,41,Central High School - 41,433 Mt Rushmore Rd,Rapid City,SD,57701-2754,51004.0,Rapid City  Area 51-4         ,41.0,Central Hi Sch                          ,361.0,371.0,410.0,377.0,0.8804878048780488,0.9840848806366048
Public School District,Special Education,51004,Rapid City Area 51-4,44,Lincoln Building - 44,851 West St,Rapid City,SD,57701,51004.0,Rapid City  Area 51-4         ,44.0,Lincoln Building                        ,0.0,33.0,0.0,27.0,,1.2222222222222223
Public School District,Alternative 7-12,51004,Rapid City Area 51-4,45,Rapid City High School - 45,601 Columbus St,Rapid City,SD,57701,51004.0,Rapid City  Area 51-4         ,45.0,Rapid City HS                           ,94.0,63.0,94.0,69.0,1.0,0.9130434782608695
Public School District,Secondary 9-12,51004,Rapid City Area 51-4,42,Stevens High School - 42,4215 Raider Rd,Rapid City,SD,57702,51004.0,Rapid City  Area 51-4         ,42.0,Stevens Hi Sch                          ,377.0,361.0,376.0,356.0,1.002659574468085,1.0140449438202248
Public School District,Alternative 7-12,56004,Redfield 56-4,4,George S. Mickelson Alternative High School - 04,17267 3rd St,Redfield,SD,57469,56004.0,Redfield 56-4                 ,4.0,George S. Mickelson Alternative HS      ,2.0,12.0,2.0,14.0,1.0,0.8571428571428571
Public School District,Secondary 9-12,56004,Redfield 56-4,1,Redfield High School - 01,502 E 2nd St,Redfield,SD,57469,56004.0,Redfield 56-4                 ,1.0,Redfield High School                    ,40.0,40.0,38.0,39.0,1.0526315789473684,1.0256410256410255
Public School District,Secondary 9-12,54004,Rosholt 54-4,1,Rosholt High School - 01,202 Finley Ave,Rosholt,SD,57260-0106,54004.0,Rosholt 54-4                  ,1.0,Rosholt High School                     ,15.0,17.0,18.0,15.0,0.8333333333333334,1.1333333333333333
Public School District,Secondary 9-12,39004,Rutland 39-4,1,Rutland High School - 01,102 School St,Rutland,SD,57057,39004.0,Rutland 39-4                  ,1.0,Rutland Hi Sch                          ,13.0,3.0,5.0,10.0,2.6,0.3
Public School District,Secondary 9-12,55005,Sanborn Central 55-5,1,Sanborn Central High School - 01,40405 SD Hwy 34,Forestburg,SD,57314,55005.0,Sanborn Central 55-5          ,1.0,Sanborn Central High School             ,13.0,8.0,8.0,12.0,1.625,0.6666666666666666
