,StateIssuedID,LEA Name,School Name,Site Address,Site City,Site St,Site ZIP,SchNo,SchoolName,Gr11,Gr12
296,47-001-4570,,Jamestown High School,1509 10th St NE,Jamestown,ND,58401,47-001-4570,Jamestown High School,144,159
297,47-001-4573,,Jamestown Middle School,203 2nd Ave SE,Jamestown,ND,58401,47-001-4573,Jamestown Middle School,0,0
298,47-001-4604,,William S Gussner Elem School,1509 4th St NE,Jamestown,ND,58401,47-001-4604,William S Gussner Elem School,0,0
299,47-001-5284,,Lincoln Elem School,319 5th St NE,Jamestown,ND,58401,47-001-5284,Lincoln Elem School,0,0
300,47-001-5330,,Louis L'Amour Elem School,1102 15th St SW,Jamestown,ND,58401,47-001-5330,Louis LAmour Elem School,0,0
301,47-001-7571,,Roosevelt Elem School,615 6th Ave SE,Jamestown,ND,58401,47-001-7571,Roosevelt Elem School,0,0
302,47-001-9247,,Washington Elem School,700 4th Ave NW,Jamestown,ND,58401,47-001-9247,Washington Elem School,0,0
303,47-003-5657,,Medina Public School,300 School St SE,Medina,ND,58467,47-003-5657,Medina Public School,10,11
304,47-010-1144,,Pingree-Buchanan Elem School,208 3rd Ave,Buchanan,ND,58420,47-010-1144,Pingree-Buchanan Elem School,0,0
305,47-010-7087,,Pingree-Buchanan High School,111 Lincoln Ave,Pingree,ND,58476,47-010-7087,Pingree-Buchanan High School,8,15
306,47-014-5794,,Montpelier Public School,214 7th Ave,Montpelier,ND,58472,47-014-5794,Montpelier Public School,8,10
307,47-019-4892,,Kensal Elem School,803 1st Ave,Kensal,ND,58455,47-019-4892,Kensal Elem School,0,0
308,48-010-1277,,North Star Public School,418 2nd Ave,Cando,ND,58324,48-010-1277,North Star Public School,13,13
309,49-003-1369,,Central Valley Public School,1556 Hwy 81 NE,Buxton,ND,58218,49-003-1369,Central Valley Public School,9,20
310,49-007-3504,,Hatton Eielson Public School,503 4th St,Hatton,ND,58240,49-007-3504,Hatton Eielson Public School,11,13
311,49-009-3630,,Hillsboro High School,12 4th St NE,Hillsboro,ND,58045,49-009-3630,Hillsboro High School,35,36
312,49-009-3633,,Hillsboro Elem School,128 4th St SE,Hillsboro,ND,58045,49-009-3633,Hillsboro Elem School,0,0
313,49-009-8078,,Spruce Lane Colony,15750 6th St SE,Blanchard,ND,58009,49-009-8078,Spruce Lane Colony,0,0
314,49-014-5526,,May-Port CG Middle-High School,900 Main St W,Mayville,ND,58257,49-014-5526,May-Port CG Middle-High School,35,33
315,49-014-7145,,Peter Boe Jr Elem School,20 2nd St NW,Mayville,ND,58257,49-014-7145,Peter Boe Jr Elem School,0,0
316,50-003-1366,,Century Elem School,1540 School Rd,Grafton,ND,58237,50-003-1366,Century Elem School,0,0
317,50-003-3231,,Grafton High School,1548 School Rd,Grafton,ND,58237,50-003-3231,Grafton High School,64,71
318,50-003-3235,,Grafton Junior High School,1556 School Rd,Grafton,ND,58237,50-003-3235,Grafton Junior High School,0,0
319,50-005-2891,,Fordville-Lankin Public School,102 4th Ave W,Fordville,ND,58231,50-005-2891,Fordville-Lankin Public School,4,1
320,50-008-9208,,Park River Area Public School,605 6th St W,Park River,ND,58270,50-008-9208,Park River Area Public School,37,37
321,50-020-5759,,Minto Public School,200 4th St,Minto,ND,58261,50-020-5759,Minto Public School,16,21
322,51-001-0869,,Bel Air Elem School,501 25th St NW,Minot,ND,58703,51-001-0869,Bel Air Elem School,0,0
323,51-001-0886,,Bell Elem School,5901 Hwy 52 S,Minot,ND,58701,51-001-0886,Bell Elem School,0,0
324,51-001-1715,,Dakota Elem School,101 Eagle Way,Minot AFB,ND,58704,51-001-1715,Dakota Elem School,0,0
325,51-001-2111,,Edison Elem School,701 17th Ave SW,Minot,ND,58701,51-001-2111,Edison Elem School,0,0
326,51-001-2480,,Erik Ramstad Middle School,1215 36th Ave NW,Minot,ND,58703,51-001-2480,Erik Ramstad Middle School,0,0
327,51-001-4645,,Jim Hill Middle School,1000 6th St SW,Minot,ND,58701,51-001-4645,Jim Hill Middle School,0,0
328,51-001-4670,,John Hoeven Elem School,3400 13th St SE,Minot,ND,58701,51-001-4670,John Hoeven Elem School,0,0
329,51-001-5326,,Longfellow Elem School,600 16th St NW,Minot,ND,58703,51-001-5326,Longfellow Elem School,0,0
330,51-001-5610,,McKinley Elem School,5 5th Ave NE,Minot,ND,58703,51-001-5610,McKinley Elem School,0,0
331,51-001-5660,,Memorial Middle School,1 Rocket Rd,Minot AFB,ND,58704,51-001-5660,Memorial Middle School,0,0
332,51-001-5746,,North Plains Elem School,101 C St,Minot AFB,ND,58704,51-001-5746,North Plains Elem School,0,0
333,51-001-5750,,Central Campus School,215 1st St SE,Minot,ND,58701,51-001-5750,Central Campus School,0,0
334,51-001-5752,,Magic City Campus High School,1100 11th Ave SW,Minot,ND,58701,51-001-5752,Magic City Campus High School,455,445
335,51-001-6126,,Lewis and Clark Elem School,2215 8th St NW,Minot,ND,58703,51-001-6126,Lewis and Clark Elem School,0,0
336,51-001-6990,,Perkett Elem School,2000 5th Ave SW,Minot,ND,58701,51-001-6990,Perkett Elem School,0,0
337,51-001-7577,,Roosevelt Elem School,715 8th St NE,Minot,ND,58703,51-001-7577,Roosevelt Elem School,0,0
338,51-001-8047,,Souris River Campus Alt High School,1510 University Ave W,Minot,ND,58703,51-001-8047,Souris River Campus Alternative High School,11,34
339,51-001-8264,,Sunnyside Elem School,1000 5th Ave SE,Minot,ND,58701,51-001-8264,Sunnyside Elem School,0,0
340,51-001-9249,,Washington Elem School,600 17th Ave SE,Minot,ND,58701,51-001-9249,Washington Elem School,0,0
341,51-004-6005,,Nedrose Elem School,6900 Hwy 2 E,Minot,ND,58701,51-004-6005,Nedrose Elem School,0,0
342,51-004-6006,,Nedrose Public School,5705 15th Ave SE,Minot,ND,58701,51-004-6006,Nedrose Public School,39,18
343,51-007-8819,,Burlington-Des Lacs Elem School,301 Wallace St,Burlington,ND,58722,51-007-8819,Burlington-Des Lacs Elem School,0,0
344,51-007-8823,,Des Lacs-Burlington High School,317 Roosevelt St,Des Lacs,ND,58733,51-007-8823,Des Lacs-Burlington High School,38,39
345,51-016-7717,,Sawyer Elem School,25 1st Ave SW,Sawyer,ND,58781,51-016-7717,Sawyer Elem School,0,0
346,51-028-4878,,Kenmare Elem School,623 N Central,Kenmare,ND,58746,51-028-4878,Kenmare Elem School,0,0
347,51-028-4882,,Kenmare High School,300 7th Ave NE,Kenmare,ND,58746,51-028-4882,Kenmare High School,19,18
348,51-041-8266,,Surrey Public School,200 2nd St SE,Surrey,ND,58785,51-041-8266,Surrey Public School,15,34
349,51-070-8068,,South Prairie Public School,100 177th Ave SW,Minot,ND,58701,51-070-8068,South Prairie Public School,29,24
350,51-161-0916,,Berthold Public School,401 4th Ave NE,Berthold,ND,58718,51-161-0916,Berthold Public School,16,16
351,51-161-7108,,North Shore Plaza Public School,801 Covell St,Plaza,ND,58771,51-161-7108,North Shore Plaza Public School,8,12
352,52-025-2792,,Fessenden-Bowdon Public School,500 2nd St N,Fessenden,ND,58438,52-025-2792,Fessenden-Bowdon Public School,8,8
353,52-038-3478,,B M Hanson Elem School,811 Burke Ave,Harvey,ND,58341,52-038-3478,B M Hanson Elem School,0,0
354,52-038-3479,,Harvey High School,200 North St E,Harvey,ND,58341,52-038-3479,Harvey High School,36,44
355,53-001-0769,,Bakken Elem School,502 W Highland Dr,Williston,ND,58801,53-001-0769,Bakken Elem School,0,0
356,53-001-1775,,Del Easton Alt High School,2304 11th Ave W,Williston,ND,58801,53-001-1775,Del Easton Alternative High School,3,14
357,53-001-3370,,Hagan Elem School,2501 29th St W,Williston,ND,58801,53-001-3370,Hagan Elem School,0,0
358,53-001-5231,,Lewis and Clark Elem School,704 17th Ave W,Williston,ND,58801,53-001-5231,Lewis and Clark Elem School,0,0
359,53-001-5629,,McVay Elem School,420 University Ave,Williston,ND,58801,53-001-5629,McVay Elem School,0,0
360,53-001-7445,,Rickard Elem School,1224 1st Ave E,Williston,ND,58802,53-001-7445,Rickard Elem School,0,0
361,53-001-9412,,Wilkinson Elem School,1200 9th Ave W,Williston,ND,58802,53-001-9412,Wilkinson Elem School,0,0
362,53-001-9416,,Williston High School,4200 32nd St W,Williston,ND,58801,53-001-9416,Williston High School,281,270
363,53-001-9418,,Williston Middle School,501 14th St W,Williston,ND,58801,53-001-9418,Williston Middle School,0,0
364,53-002-7352,,Ray Public School,224 2nd Ave W,Ray,ND,58849,53-002-7352,Ray Public School,24,21
365,53-006-2270,,Eight Mile Public School,203 1st St E,Trenton,ND,58853,53-006-2270,Eight Mile Public School,23,13
366,53-008-3045,,Garden Valley Elem School,13565 60th St NW Ste 102,Williston,ND,58801,53-008-3045,Garden Valley Elem School,0,0
367,53-008-7600,,Round Prairie Elem School,5098 151st Ave NW,Williston,ND,58801,53-008-7600,Round Prairie Elem School,0,0
368,53-008-8246,,Stony Creek Elem School,5032 133rd Dr NW,Williston,ND,58801,53-008-8246,Stony Creek Elem School,0,0
369,53-015-1360,,Central Elem School,321 N Benson St,Tioga,ND,58852,53-015-1360,Central Elem School,0,0
370,53-015-8463,,Tioga High School,303 N Linda St,Tioga,ND,58852,53-015-8463,Tioga High School,30,22
371,53-099-3281,,Grenora Public School,402 Robinson St,Grenora,ND,58845,53-099-3281,Grenora Public School,9,12
